group1,group2,group3,group4,group5,group6,id,x,y,z
2.7487666941896e+14,1.1080212044069e+15,2.0740462073229e+15,1.3411979242951e+15,1.0696697353475e+15,3.2374519783015e+14,91,100,91,0
2.7536585333801e+14,1.1099909761289e+15,2.0777299858939e+15,1.3435824251427e+15,1.0715730614235e+15,3.2432150180527e+14,92,100,92,0
2.757938132862e+14,1.1117142319004e+15,2.0809528156593e+15,1.3456685856268e+15,1.0732382217985e+15,3.2482568037459e+14,93,100,93,0
2.7616045499411e+14,1.1131906008916e+15,2.0837140181792e+15,1.3474559576324e+15,1.0746648518376e+15,3.2525762197271e+14,94,100,94,0
2.7646569747449e+14,1.1144197654715e+15,2.0860130140195e+15,1.3489441574414e+15,1.0758526385157e+15,3.2561723068949e+14,95,100,95,0
2.7670947317487e+14,1.1154014618019e+15,2.0878493238284e+15,1.3501328664486e+15,1.076801321006e+15,3.2590442645202e+14,96,100,96,0
2.7689172811515e+14,1.1161354803758e+15,2.0892225693113e+15,1.3510218318057e+15,1.0775106912113e+15,3.2611914518872e+14,97,100,97,0
2.7701242200986e+14,1.1166216664967e+15,2.0901324740996e+15,1.3516108669922e+15,1.0779805942339e+15,3.2626133897512e+14,98,100,98,0
2.7707152837385e+14,1.1168599206887e+15,2.0905788644888e+15,1.3518998523054e+15,1.0782109287826e+15,3.2633097615958e+14,99,100,99,0
2.7706903461943e+14,1.1168501990701e+15,2.0905616701094e+15,1.3518887353014e+15,1.0782016475431e+15,3.2632804147722e+14,100,100,100,0
2.7700494213095e+14,1.1165925136416e+15,2.0900809244396e+15,1.3515775311428e+15,1.0779527574663e+15,3.2625253614005e+14,101,100,101,0
2.7687926631818e+14,1.1160869324876e+15,2.0891367651538e+15,1.3509663228474e+15,1.0774643199709e+15,3.261044779023e+14,102,100,102,0
2.7669203666119e+14,1.1153335799431e+15,2.0877294344094e+15,1.3500552614901e+15,1.0767364511142e+15,3.258839011143e+14,103,100,103,0
2.764432967384e+14,1.1143326366929e+15,2.0858592790093e+15,1.3488445663214e+15,1.0757693216968e+15,3.2559085675595e+14,104,100,104,0
2.7613310424678e+14,1.1130843398421e+15,2.083526750514e+15,1.34733452484e+15,1.0745631573343e+15,3.2522541245897e+14,105,100,105,0
2.7576153100051e+14,1.1115889829004e+15,2.0807324051952e+15,1.3455254927601e+15,1.073118238446e+15,3.2478765250324e+14,106,100,106,0
2.7532866290328e+14,1.1098469156594e+15,2.0774769037843e+15,1.3434178938732e+15,1.0714349001444e+15,3.2427767778587e+14,107,100,107,0
2.7483459991735e+14,1.1078585440573e+15,2.0737610111997e+15,1.3410122198864e+15,1.0695135321101e+15,3.2369560578455e+14,108,100,108,0
2.7427945601462e+14,1.1056243299744e+15,2.0695855961498e+15,1.3383090301718e+15,1.0673545783961e+15,3.2304157049909e+14,109,100,109,0
2.7366335911184e+14,1.1031447909642e+15,2.0649516306137e+15,1.3353089514419e+15,1.0649585371717e+15,3.2231572237401e+14,110,100,110,0
2.7298645098998e+14,1.1004204999188e+15,2.0598601892004e+15,1.3320126773492e+15,1.0623259604025e+15,3.2151822820249e+14,111,100,111,0
2.7224888719718e+14,1.0974520846709e+15,2.0543124483894e+15,1.32842096801e+15,1.059457453469e+15,3.2064927101098e+14,112,100,112,0
2.7145083689444e+14,1.0942402273711e+15,2.0483096853501e+15,1.32453464927e+15,1.0563536745641e+15,3.1970904987946e+14,113,100,113,0
2.705924829162e+14,1.0907856647093e+15,2.0418532783499e+15,1.3203546129758e+15,1.0530153349135e+15,3.1869778000708e+14,114,100,114,0
2.6967402158424e+14,1.0870891871754e+15,2.0349447054053e+15,1.3158818158943e+15,1.0494431980189e+15,3.1761569245677e+14,115,100,115,0
2.6869566228571e+14,1.0831516373721e+15,2.0275855410708e+15,1.3111172778554e+15,1.0456380780482e+15,3.1646303369199e+14,116,100,116,0
2.6765762755436e+14,1.0789739103166e+15,2.0197774569832e+15,1.3060620821684e+15,1.0416008401354e+15,3.1524006567314e+14,117,100,117,0
2.665601532017e+14,1.0745569539521e+15,2.0115222228786e+15,1.3007173760442e+15,1.0373324008387e+15,3.1394706596545e+14,118,100,118,0
2.6540348746396e+14,1.0699017657641e+15,2.0028217002316e+15,1.2950843665347e+15,1.0328337248441e+15,3.1258432674368e+14,119,100,119,0
2.6418789115504e+14,1.0650093933604e+15,1.9936778433033e+15,1.2891643213796e+15,1.0281058255485e+15,3.11152154987e+14,120,100,120,0
2.6291363758163e+14,1.0598809341216e+15,1.984092698502e+15,1.2829585685228e+15,1.0231497646983e+15,3.0965087235721e+14,121,100,121,0
2.6158101226341e+14,1.0545175340921e+15,1.9740684023365e+15,1.2764684946752e+15,1.0179666512699e+15,3.0808081484329e+14,122,100,122,0
2.6019031258991e+14,1.0489203866133e+15,1.9636071788423e+15,1.2696955436804e+15,1.01255764012e+15,3.0644233235368e+14,123,100,123,0
2.5874184765523e+14,1.0430907316564e+15,1.9527113383301e+15,1.2626412157177e+15,1.0069239313132e+15,3.0473578851088e+14,124,100,124,0
2.5723593804382e+14,1.0370298549601e+15,1.9413832757704e+15,1.2553070662403e+15,1.0010667692525e+15,3.0296156038138e+14,125,100,125,0
2.5567291554178e+14,1.0307390868791e+15,1.9296254686331e+15,1.2476947045649e+15,9.9498744151822e+14,3.011200381184e+14,126,100,126,0
2.5405312293437e+14,1.0242198015779e+15,1.917440475379e+15,1.239805792868e+15,9.8868727803215e+14,2.9921162470291e+14,127,100,127,0
2.5237691372809e+14,1.0174734159228e+15,1.9048309333828e+15,1.2316420448029e+15,9.8216764992137e+14,2.972367355907e+14,128,100,128,0
2.5064465186125e+14,1.0105013883319e+15,1.8917995567691e+15,1.2232052240718e+15,9.7542996833095e+14,2.9519579834631e+14,129,100,129,0
